SeniorCitizen,Partner,Dependents,tenure,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Tenure_MonthlyCharges,TenureGroup_0-12,TenureGroup_25-48,TenureGroup_49+,HighCharges,LongTenure
0,1,0,1,1,29.85,29.85,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,29.85,True,False,False,0,0
0,0,0,34,0,56.95,1889.5,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,1936.3000000000002,False,True,False,0,0
0,0,0,2,1,53.85,108.15,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,107.7,True,False,False,0,0
0,0,0,45,0,42.3,1840.75,0,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,1903.4999999999998,False,True,False,0,0
0,0,0,2,1,70.7,151.65,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,141.4,True,False,False,0,0
0,0,0,8,1,99.65,820.5,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,797.2,True,False,False,1,0
0,0,1,22,1,89.1,1949.4,0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,1960.1999999999998,False,False,False,0,0
0,0,0,10,0,29.75,301.9,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,297.5,True,False,False,0,0
0,1,0,28,1,104.8,3046.05,1,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,2934.4,False,True,False,1,0
0,0,1,62,0,56.15,3487.95,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3481.2999999999997,False,False,True,0,1
0,1,1,13,1,49.95,587.45,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,649.35,False,False,False,0,0
0,0,0,16,0,18.95,326.8,0,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,303.2,False,False,False,0,0
0,1,0,58,0,100.35,5681.1,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,5820.299999999999,False,False,True,1,1
0,0,0,49,1,103.7,5036.3,1,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,5081.3,False,False,True,1,0
0,0,0,25,1,105.5,2686.05,0,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,2637.5,False,True,False,1,0
0,1,1,69,0,113.25,7895.15,0,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,7814.25,False,False,True,1,1
0,0,0,52,0,20.65,1022.95,0,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,1073.8,False,False,True,0,0
0,0,1,71,0,106.7,7382.25,0,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,7575.7,False,False,True,1,1
0,1,1,10,0,55.2,528.35,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,552.0,True,False,False,0,0
0,0,0,21,1,90.05,1862.9,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,1891.05,False,False,False,1,0
1,0,0,1,1,39.65,39.65,1,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,39.65,True,False,False,0,0
0,1,0,12,0,19.8,202.25,0,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,237.60000000000002,True,False,False,0,0
0,0,0,1,0,20.15,20.15,1,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,20.15,True,False,False,0,0
0,1,0,58,1,59.9,3505.1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,3474.2,False,False,True,0,1
0,1,1,49,0,59.6,2970.3,0,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,2920.4,False,False,True,0,0
0,0,0,30,1,55.3,1530.6,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1659.0,False,True,False,0,0
0,1,1,47,1,99.35,4749.15,1,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,4669.45,False,True,False,1,0
0,1,1,1,0,30.2,30.2,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,30.2,True,False,False,0,0
0,1,0,72,1,90.25,6369.45,0,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,6498.0,False,False,True,1,1
